E_keV,dNdE,unc,,,,
9694,0.0000882796,0.0000882796,,,,
9740,0.0000871301,0.0000871302,,,,
9786,0.0000859713,0.0000859713,,,,
9832,0.0000848034,0.0000848035,,,,
9878,0.0000836269,0.0000836269,,,,
9924,0.0000824419,0.000082442,,,,
9970,0.000081249,0.0000812491,,,,
10016,0.0000800485,0.0000800486,,,,
10062,0.0000788407,0.0000788409,,,,
10108,0.0000776261,0.0000776263,,,,
10154,0.0000764051,0.0000764052,,,,
10200,0.0000751779,0.0000751781,,,,
10246,0.000073945,0.0000739452,,,,
10292,0.0000727068,0.000072707,,,,
10338,0.0000714638,0.0000714639,,,,
10384,0.0000702162,0.0000702163,,,,
10430,0.0000689645,0.0000689647,,,,
10476,0.0000677091,0.0000677093,,,,
10522,0.0000664505,0.0000664507,,,,
10568,0.0000651891,0.0000651893,,,,
10614,0.0000639252,0.0000639254,,,,
10660,0.0000626594,0.0000626596,,,,
10706,0.000061392,0.0000613923,,,,
10752,0.0000601236,0.0000601238,,,,
10798,0.0000588544,0.0000588547,,,,
10844,0.0000575852,0.0000575855,,,,
10890,0.0000563162,0.0000563165,,,,
10936,0.0000550479,0.0000550482,,,,
10982,0.0000537809,0.0000537812,,,,
11028,0.0000525155,0.0000525158,,,,
11074,0.0000512523,0.0000512526,,,,
11120,0.0000499916,0.000049992,,,,
11166,0.0000487341,0.0000487344,,,,
11212,0.0000474803,0.0000474806,,,,
11258,0.0000462305,0.0000462308,,,,
11304,0.0000449852,0.0000449856,,,,
11350,0.0000437452,0.0000437456,,,,
11396,0.0000425108,0.0000425112,,,,
11442,0.0000412824,0.0000412829,,,,
11488,0.0000400607,0.0000400612,,,,
11534,0.0000388463,0.0000388468,,,,
11580,0.0000376395,0.00003764,,,,
11626,0.0000364409,0.0000364414,,,,
11672,0.0000352511,0.0000352516,,,,
11718,0.0000340707,0.0000340712,,,,
11764,0.0000329,0.0000329006,,,,
11810,0.0000317398,0.0000317404,,,,
11856,0.0000305906,0.0000305912,,,,
11902,0.0000294529,0.0000294535,,,,
11948,0.0000283272,0.0000283279,,,,
11994,0.0000272142,0.0000272149,,,,
12040,0.0000261144,0.0000261151,,,,
12086,0.0000250285,0.0000250292,,,,
12132,0.0000239569,0.0000239576,,,,
12178,0.0000229002,0.000022901,,,,
12224,0.0000218592,0.0000218599,,,,
12270,0.0000208343,0.0000208351,,,,
12316,0.0000198261,0.0000198269,,,,
12362,0.0000188353,0.0000188361,,,,
12408,0.0000178625,0.0000178633,,,,
12454,0.0000169082,0.0000169091,,,,
12500,0.000015973,0.0000159739,,,,
12546,0.0000150578,0.0000150587,,,,
12592,0.0000141629,0.0000141639,,,,
12638,0.0000132891,0.0000132901,,,,
12684,0.0000124369,0.0000124379,,,,
12730,0.0000116071,0.0000116081,,,,
12776,0.0000108002,0.0000108012,,,,
12822,0.0000100169,0.000010018,,,,
12868,0.00000925778,0.0000092589,,,,
12914,0.00000852358,0.00000852474,,,,
12960,0.00000781491,0.00000781609,,,,
13006,0.00000713242,0.00000713363,,,,
13052,0.00000647677,0.00000647801,,,,
13098,0.00000584862,0.00000584989,,,,
13144,0.00000524862,0.00000524993,,,,
13190,0.00000467745,0.00000467879,,,,
13236,0.00000413577,0.00000413715,,,,
13282,0.00000362425,0.00000362566,,,,
13328,0.00000314356,0.000003145,,,,
13374,0.00000269435,0.00000269583,,,,
13420,0.00000227731,0.00000227882,,,,
13466,0.0000018931,0.00000189465,,,,
13512,0.0000015424,0.00000154399,,,,
13558,0.00000122587,0.0000012275,,,,
13604,0.000000944163,0.000000945832,,,,
13650,0.000000697939,0.000000699651,,,,
13696,0.000000487846,0.000000489604,,,,
13742,0.000000314512,0.000000316323,,,,
13788,0.000000178547,0.000000180419,,,,
13834,0.0000000805186,0.0000000824733,,,,
13880,0.0000000209198,0.0000000230185,,,,
13926,0.0000000000289519,0.00000000043502,,,,
13928,0,0,,,,
